Get a loan	loan
Can I make a deposit at an atm on the network?	deposit atm, atm network, atm, network, make
Locked out	locked
how do i transfer	transfer
Am I able to order Mexican Pesos?	mexican pesos, order mexican, able order, mexican, able
I need a letter stating my account is closed	account closed, letter stating, stating account, closed
What are the requirements for a simple savings account?	savings account, simple savings, requirements simple, simple
autopay	autopay
Need my password reset?	password reset, need password, password, reset
Trying to purchase mattress  transferred funds but no available funds need money now	mattress transferred, transferred funds, funds need, purchase, trying
Reset password	reset password, password, reset
Commercial Bank Loan Application	loan application, bank loan, commercial, application
What time is the deadline to deposit cash to counter that negative balance so I don’t get an over draft charge	deadline deposit, negative balance, don draft, counter, time
I just got an security alert on my phone saying invalid password but i haven’t been on my bank app this afternoon. i am now locked out because someone tried to get into my account	invalid password, bank app, security alert, afternoon, saying
Need to pay auto loan	auto loan, pay auto, auto, pay
Hi there. My AIQFinancial debit card expires this month. When may I expect the new one?	card expires, debit, month expect, new
Mobile app username	app username, mobile app, app, mobile, username
is there a way to set up automatic payments for car loans?	automatic payments, car loans, set automatic, way set, way
payment declined	payment declined, declined, payment
I have been locked out of my online account. Can you help me back in?	locked online, online account, account help, online
Can I put money in my landlord account online or over phone	landlord account, money landlord, account online, online phone, money
Trying to get information on Lot/Land Loans and/or Construction Loans - no answer when call 761-2211	land loans, 761 2211, trying information, lot, construction
Hi there! I need some help with…need new password to access accounts	new password, access accounts, new, hi need
My decor card is not working and I'm on a trip for the next 10 days. This is my only pay option.	decor card, card working, pay option, working, trip 10
Good morning, I have Kami with  Central Texas. I spoke to Chrystal and an ACH dispute will need to be done. Can you please assist me with a transaction that was done on 10/10 from Epay in the amount of $25.00 from account ending # 2245 CIF: CIF  C000000	transaction 10, ach dispute, kami central, chrystal, ending 2245
Hi there! I need some help with…routing number	routing number, help routing, number
I am trying to check my password settings	password settings, check password, settings, check, trying
Good Morning I had a school refund that was sent to my account. The university is saying the refund should have hit yesterday but my account doesn’t reflect that. I just wanted to make sure it was sent by the university.	school refund, university, account doesn, sure sent, hit yesterday
I need to stop a pending ACH from processing immediately to American Express.	pending ach, american express, immediately american, processing, stop
Legal Orders	legal orders, orders, legal
I’m unable to use my card.  I just opened a new account	use card, unable use, new account, just opened, just
I am trying to see if I have a pin number. I tried to deposit a check and it said I had the incorrect pin.	pin number, tried deposit, number tried, check said, incorrect
I need to close my account. We are no longer near an AIQFinancial banks location and it has become very inconvenient	close account, banks location, near aiqfinancial, inconvenient
Need routing number and checking number	routing number, checking number, number
How do I update our billing address? We are moving this weekend and need to do so	update billing, address, moving weekend, update
I need to unlock my online account. Can you help?	unlock online, online account, account help
Someone accessed my account  with a device/browser  need help on what to do	accessed account, device browser, account device
Can you guys tell me if I have money in my account?	money account, tell money, money, tell, guys
Someone stole all of our money!!	stole money, stole, money
Where is bill pay on app	pay app, pay, app
Hi there! I need some help with…increasing my daily limit so I can book a trip	daily limit, help increasing, limit book, book trip, hi need
Forgot account number	forgot account, account number, number, forgot
Why does my account show a charge back?	account charge, charge, does account, does
Hi. Who do I contact for help logging into net teller and app? I seem to be locked out. \nThanks	app locked, net teller, help logging, hi contact
is there a fee to void a check	fee void, void check, fee, void, check
I have a new address that will be effective August 1st.	new address, effective august, address effective, new, 1st
Hi there! I need some help with…my app. I tried to log in and it went crazy somehow and locked me out.	app tried, crazy locked, log, went
number with the last 4 - 5089  is fraudulent. I couldn't find where to change my pw. The correct number is xxx-xxx-3699 and has always been on the account.  Please address this ASAP. I will try to call in between seeing my patients	5089 fraudulent, change pw, account address, xxx 3699, patients
Hi there! I need some help with…my log in information	help log
I never signed up for this so I have no idea why you are trying to get $54.95 from my pay pal!!!!!	pay pal, 95 pay, 54 95, signed, idea trying
Hi there! I need some help with… my balance	help balance, balance, hi need
How do i transfer money to a non AIQFinancial member bank	transfer money, member bank, aiqfinancial member, non, money
My Sept 12 payment was returned and needs to be run again	payment returned, 12 payment, returned needs, sept 12, needs run
THE ATM AT THE LORENA CITY HALL LOCATION IS NOT WORKING.  PLEASE REPORT TO THE APPROPRIATE DEPT.	atm lorena, location working, hall, dept, report appropriate
We are going  out of state and want to make sure our card doesn't have issues	card doesn, going state, issues, make sure, want
Locked out my account	locked account, locked
Lost card	lost card, card, lost
Hello Erik its Mary I was wondering can you tell me if I have beneficiaries on my account there>>	beneficiaries account, mary wondering, hello erik, tell
I think my card isn’t working or something?	card, card isn, isn working, think, isn
Im locked out of my app	locked app, im locked, app, locked, im
I can’t remember my username	remember username, remember, username
Does the AIQFinancial branch in Copperas Cove offer same day debit card replacement?	debit card, branch copperas, does aiqfinancial, cove offer, day
Forgot password	forgot password, password, forgot
Where can I print my 1099 for last year?	print 1099, 1099, 1099 year, print, year
If I deposit a check from Merrill Lynch at the ATM into my personal account at the drive through, can I get cash out from the deposit today	cash deposit, account drive, check merrill, today, lynch
Change address	change address, address, change
Hi there! I need some help with… late fees on auto loan	late fees, fees auto, auto loan, hi need
I’ve had an alert that someone has tried to log into my account and got an invalid password three times in the last few days. What do I need to do to secure my account to insure I will not get hacked?	invalid password, need secure, account insure, ve alert, times days
Where could I find an official direct deposit form? I need one for a job I am on boarding with	deposit form, official direct, need job, boarding
What do I click on to get my 1099 int?	click 1099, 1099 int, 1099, int, click
How do I get my account out of the negative? Can I apply for a loan that could assist me?	account negative, apply loan, negative apply, apply, assist
hello
**********
Customer representative	customer representative, customer, representative
I received a message stating i left my DL at the 31st street location.  Can i get that through the drive through or do i need to come inside?	dl 31st, location drive, street, received message, come inside
Bank bag	bank bag, bag
Would like to do a stop- payment on an automatic draft.	automatic draft, payment automatic, stop payment, stop, like
How do I use an ATM machine at AIQFinancial to withdraw some cash? Cause I don't know how to use an ATM machine	use atm, withdraw cash, machine, cause don
Why is my account negative?	account negative, negative
how do i deposit a check online?	deposit check, deposit, check online, online, check
how do I change my pin from the website?	change pin, pin website, pin, website, change
Hello, I’m leaving on a trip out of the country and wanted to see if y’all need to make a note on my account of that in case I need to use my debit card while there.	note account, use debit, leaving trip, country, need make
Who can I contact about refinancing cars?	refinancing cars, contact refinancing, refinancing, contact, cars
This is the best bank ever. Thank you so much for your amazing service. I am very grateful.	bank thank, grateful, service, thank amazing, best
Fraudulent Activities	fraudulent activities, fraudulent, activities
Our car payment has been made to SunTrust, Account Number but we have a notification that will be changing to Truist	payment suntrust, account number, notification changing, car, truist
Yes my account is blocked and I can't access it	account blocked, blocked access, yes account, access, yes
We closed our accounts on 01/06.  I received notification today from AIQFinancial that our tax statement was available and I needed to log in to view and download it.  There is nothing available on the website, probably because we recently closed the account, but we still need our tax statement from last year.  Can you help me??	tax statement, closed accounts, view download, today aiqfinancial, available needed
Expo2022	expo2022
Can’t change phone number in bank account	number bank, change phone, phone number, change
Hi there! I need some help with…activate debit card	activate debit, help activate, card
Can I put an extension on my payment. I just moved and I can’t pay my payment this month	extension payment, moved pay, payment just, just moved, month
Hi is the 211.00 I transfer is available for use on my debit card ending 3495	debit card, 211 00, transfer, available, ending 3495
I have a refund need see if it went thur its 81 motel 6 I don't see it	81 motel, refund need, need went, thur, don
Do yall have notary?	yall notary, notary, yall
Do you know how much was deposit in the account today	deposit account, know deposit, account today, today, know
I have not changed my login info so why can't I login?	changed login, info login, login, changed, info
My online account was disabled I need it turned back on.	account disabled, disabled need, online account, turned
Hi I need to open two basic savings accounts	savings accounts, accounts, open basic, open, hi need
Having trouble resetting my password	resetting password, trouble resetting, password, trouble, having
Hi there! I need some help with…making sure I can purchase a trailer with my bank card.	trailer bank, card, sure, help making
Hello! Why are you bothering me	hello bothering, bothering
Does AIQFinancial cash mature savings bonds, if I have an account?	savings bonds, does aiqfinancial, cash, mature, does
Limit	limit
Is my account ACH transactions eligible?	ach transactions, transactions eligible, ach, eligible
need help with online account. Have forgotten username and password	online account, password, forgotten, username
I need the PIN to my account	need pin, pin account, pin
should I get a tax form for the interest paid on my loan?	tax form, paid loan, tax, form paid, paid
I need my routing and account number to set up a new direct deposit	direct deposit, need routing, number set, new
Where do I find my tax statement?	tax statement, tax, statement
Hi there! I need some help with… unlocking my account on the mobile app	unlocking account, account mobile, mobile app, hi need
Hi there! I need some help with…	need help, hi need
I have locked myself out of my account...can you help me?	locked account, account help, locked
Hi there! I need some help with... is my card locked	card locked, locked, help card, hi need
debit card fraudulent charges	card fraudulent, fraudulent charges, debit, charges, card
Not able to log in mobile banking	mobile banking, log mobile, mobile, able log, able
Are you interested in receiving a professional janitorial or disinfection quote for your business? I’d like to provide a strategy to take care of all your facility needs, along with excellent communication and customer service.\n \nSome of our satisfied customers include Seaworld, Phillips Toyota, and Primrose School, just to name a few.\n \nJust send me a quick reply and I’d be happy to schedule a site visit and give you a complimentary, no-obligation quote.\n \nHave a great day!\n \nRay Gagliardi\nRegional Directo	janitorial disinfection, quote business, toyota primrose, needs excellent, include seaworld
Hi there! I need some help with…\nIs notary service available for an existing customer at the Waco midway branch? And if so do I have to make an appointment?	notary service, waco midway, make appointment, existing customer, available
What is the charge from the Daily Wire of $256?  I didn’t make it.	charge daily, daily wire, wire 256, 256 didn, didn make
I need my 2021 tax statement from AIQFinancial. I have tried finding it online	tax statement, aiqfinancial tried, 2021, statement, online
I’m looking to get my car payoff amount and interest rate	car payoff, payoff rate, looking car, rate, looking
I need to reset my password	reset password, password, need reset, reset
Hello I made a deposit yesterday and still hasn’t reflected on my account	deposit yesterday, reflected, hasn
Item return fee	return fee, item return, fee, return, item
Are mobile deposits available	mobile deposits, deposits available, deposits, mobile, available
Payoff on auto loan	payoff auto, auto loan, payoff, loan, auto
ATM Pin reset??	pin reset, atm pin, reset, pin, atm
Hi there- I called about setting up an appointment for tomorrow in Hamilton for a new business account and LOC.  I was told someone would call but I haven't heard from anyone yet.	appointment tomorrow, hamilton new, business account, hi called, loc told
Mobile deposit limit	mobile deposit, deposit limit, deposit, mobile, limit
Hello Mayra. I have logged onto my account as you have asked.	mayra logged, logged account, hello mayra, account asked
I need to order checks.	order checks, checks, need order, order
I just purchased a new phone and need access to my account I forgot my logins	forgot logins, new phone, access, purchased
I'm looking to possibly opening an account and had some questions	opening account, possibly opening, questions, looking, possibly
Hello! I am in Playa del Carmen Mexico on vacation. I will be here until Friday, 6/9. I tried to get money from an ATM last night, and the transaction was denied.	transaction denied, atm night, carmen mexico, vacation friday, hello playa
Reset password	reset password, password, reset
Is Bank On Checking Still Offered?	bank checking, checking offered, offered
Hi there! I need some help with…	need help, hi need
how do I sync an account from another bank	sync account, account bank, sync
How to set up estaments	set estaments, estaments, set
order checks	order checks, checks, order
Hi there! I need some help with…logging into my Mobil app	mobil app, logging mobil, help logging, hi need
I am trying to deposit a check electronically	deposit check, check electronically, electronically, check, trying
Hello, can I get help signing into my mobile app. I got a new phone.	signing mobile, new phone, app, hello help, got
I am wanting to get the 10 day payoff on my vehicle loan	vehicle loan, payoff, 10 day, day, wanting
Hi there! I need some help with…canceling MYAZZIRETECH.STORE and MEDWYNBRAIN.COM for $119.98 and $39.97 respectively have been cancelled per calls and not paid. They are pending now and should not be paid as they are cancelled. I called them and want to make sure no payment is made.\n\nThanks	help canceling, calls paid, myazziretech store, medwynbrain, 39 97
I need help doing a picture deposit on my mobile phone	deposit mobile, picture deposit, doing picture, phone
Why is it every time I go to login on my phone it makes me get a secure code?	login phone, secure code, makes secure, time login, makes
What is the routing number for bank	routing number, number bank, routing, number
Hi there! I need some help with my mobile app login	app login, help mobile
Where is my money. My accounts have been  zeroed out. Why did I not receive a fraud alert? This company is disgusting and unacceptable as a “trusted” business.	fraud alert, accounts zeroed, company disgusting, unacceptable trusted, money
Hi there! I need some help with…I need to give you my new phone number please.	phone number, new phone, need new
Locked out of online account, need to reset.	locked online, need reset, online account
Trying to connect my account to my Venmo	account venmo, trying connect, connect account, trying
Can you tell me what the maximum length user id is for you online banking?	length user, online banking, id, tell maximum, online
Hi there! I need some help with…setting a new password	new password, help setting, new
Change mailing address	change mailing, mailing address, address, mailing, change
Mobile banking unlock account please	banking unlock, mobile banking, unlock account, mobile
I am trying to get into my account and it ask me to pick how you can get in touch. Well, then they try to sell me a device I wear around my neck. I just want into my account.]	trying account, touch try, device wear, ask pick, just
So I'm used to getting my check Thursday 8:30 am and I seen its not in my account is that on my company's end or AIQFinancial?	getting check, account company, thursday, end aiqfinancial, used
Got a question. Can you tell me who is all listed on my Money Market account? I know it	market account, listed, money, got question, tell
Good afternoon charge denied need assistance	charge denied, afternoon charge, good afternoon, assistance
Hi there! I need some help with…Safeco Insurance, (Home Policy-OY000000; Acct: 7183-000000/Parks	safeco insurance, home policy, parks, 7183 000000, acct
I deposited $600 cash to the ATM Friday at 8pm and you still haven’t put my money in my account. My rent was due Saturday and need my money. A representative that I spoke to earlier today assured me that it would be posted by 7pm. And still NOTHING.	atm friday, deposited 600, account rent, representative spoke, haven
We recently paid off our car loan and I was curious if the title will be mailed to us or how the process works.	title mailed, car loan, recently paid, process works, curious
We will be selling our practice and they need to speak to someone to help make the transition go smoothly	selling practice, need speak, transition smoothly, help make
Can’t get my Zelle linked	zelle linked, zelle, linked
Im todd adams l cant activate my new debit card.\n	debit card, activate new, adams activate, im todd, im
How do I find my routing number	routing number, routing, number
Hi there! I need some help with…please unlock my account	unlock account, help unlock, hi need
Can I deposit a check with my phone and this app	deposit check, check phone, phone app, check, phone
Hi there! I need some help with…resetting app password	app password, resetting app, help resetting, need help
Help tracking a refund	tracking refund, refund, help tracking, tracking
What documents do I need to add a person to a bank account	bank account, documents need, add person, person
Printable form	printable form, printable, form
keep inactive account open	inactive account, account open, inactive, open
I need to access my husbands checking account. He is out of the country and he’s not coming back for a very long time. But he receives benefits every month, and I need to be able to access these funds to send to him. I have a durable power of attorney. What do I need to do, to be able to complete the necessary transactions he needs me to complete for him?	access funds, husbands checking, power attorney, benefits month, complete necessary
Hi there! I need some help with my card! I am trying to pay my phone bill and my automatic payment didn't go through. When I tried to go pay it manually, it wouldn't work. Is my card still working??	card working, automatic payment, tried pay, hi need, wouldn
locked out of account	locked account, locked
Activate debit card	activate debit, debit card, debit, activate, card
I need to get my online access turned back on	online access, access turned, online, turned
I have locked myself out of my account. I need to reset my password.	reset password, need reset, locked
Let me talk to a real person	talk real, let talk, let, real, person
Hi, I'm having trouble changing my statement preferences.	statement preferences, preferences, trouble changing, statement, hi having
I’m trying to make a purchase online, my card is saying declined	online card, make purchase, saying declined, trying make, saying
Hi there! I need some help with… lost card	lost card, help lost, hi need
help with ach	help ach, ach
Need help resetting password because it's an unregistered browser	unregistered browser, password unregistered, resetting password, help resetting
I don't know my account number	account number, know account, don, don know, know
Dispute	dispute
Locked account	locked account, locked
Hi there! I need some help with… resetting my password	resetting password, help resetting
Hi there! I need some help with…my loan pay off on my truck	help loan, truck, pay, hi need
How do I set up my car payment for automatic withdrawal?	payment automatic, car payment, withdrawal, set car, automatic
This is Charlie. Trying to change my password with NO luck…..HELP!	change password, password luck, charlie, trying change, luck help
Customer service	customer service, customer, service
What will your hours be on Friday 12/24?	hours friday, friday 12, friday, hours, 12 24
Español?	español
Hi there! I need some help with… with my debit card	debit card, help debit, hi need
I’m trying to do a mobile deposit but don’t know where to go	mobile deposit, trying mobile, trying, don, know
Overdraft fee	overdraft fee, overdraft, fee
I'd like to confirm a transfer I'm making into an external account	confirm transfer, external account, making external, like
IAM in a hotel I just buryed my mom I need your help to get me a loan for land and small home just a small lot and tiny home  thanksiam on ssifisabilty I get 919  month	help loan, small home, buryed mom, 919 month, ssifisabilty
Change of address	change address, address, change
HELLO
Card declined	card declined, declined, card
Tax forms	tax forms, forms, tax
I need to apply for visa debit card	visa debit, apply visa, card, apply
My address has changed	address changed, address, changed
Change Adress	change adress, adress, change
Hi I was concern with a returned payment of 100$ with capital one? I paid it before the account was overdrawn and the payment was posted but now that it was returned it added that balance to my capital one credit card but it shouldn’t have because it was processed according to the transaction history and was charged a returned fee when it should’ve just been posted and okay because a check was suppose to be direct deposited which is was and paid the overdraft fees and other transactions… can you fix this?	returned fee, balance capital, overdrawn, card shouldn, posted okay
Routing number	routing number, routing, number
what are your hours today	hours today, hours, today
Tax question	tax question, tax, question
Good Morning,	good morning, morning, good
Deposit form	deposit form, deposit, form
Good Morning I have a customer D000000 who needs his phone 24 activated please	24 activated, needs phone, customer, d000000, good morning
Hello!
Expected deposit today from social security but not showing on my online banking. Status of checking account balance	expected deposit, balance, status checking, today social, online
when I open my online account , my id and password appear by themselves. How do I stop this.	password appear, account id, open online, appear, stop
Who handles community reinvestment act	community reinvestment, reinvestment act, handles community, act, handles
Hi what is my account number	account number, hi account, number
I need to unlock my mobile banking and reset my password	unlock mobile, reset password, mobile banking, banking reset
I am needing to setup a login to do online banking for our Belton High School Project Celebration account	setup login, banking belton, online, project celebration, high
Hi my name is Bernardino i am locked out of mobile app	locked mobile, bernardino locked, app, hi bernardino
Hello, I am unabke to log in to my AIQFinancial Moble App. It says the account had been locked. Can you help?	account locked, aiqfinancial moble, app says, unabke log
Hello my name is Rilla and I was signing in with my finger print I tried 3 times to sign in and it locked me out so I need to reset my account what do I need to do to get that done.	reset account, locked need, signing finger, hello rilla, tried times
Are the debits cards visa or mastercard>	visa mastercard, debits cards, debits, cards, visa
I want to go to paper less	want paper, paper, want
Aside from routing and account number, what else is needed to wire funds to someone who banks with you?	wire funds, routing account, banks, number needed, aside
Traveling from Austin to California and will be using my debit card in CA	debit card, card ca, california using, traveling austin, using
Personal Checking	personal checking, personal
I would like to come open ROth IRA account	open roth, ira account, open, come, like
Hi there! I need some help with…\nMy debit card is expiring in October 2022 and I need to order another one but I Do Not want another Discover card I want one with a Visa logo!\nHow can I get one?	debit card, expiring october, want visa, 2022 need, logo nhow
I need my password reser Khe user name  for checking account  0448 8583	need password, user checking, 0448 8583, reser khe
Customer Service	customer service, customer, service
SWIFT/BIC code	swift bic, bic code, swift, bic, code
My bill pay account is not letting me access it. It says access denied and my account has been locked.	account locked, access says, pay, denied, letting
Why did my card decline at the last transaction	card decline, decline transaction, did card, transaction, did
Safety deposit boxes	safety deposit, deposit boxes, boxes, safety, deposit
I need to transfer money from my AIQFinancial account to my Wells Fargo account. How can I do that the most efficient way?	aiqfinancial account, transfer money, fargo, wells, efficient way
there's a charge on my account that I don't know about	charge account, account don, don know, know, don
Do you show a deposit pending?	deposit pending, deposit, pending
How can I see my card I don't have it no more but I don't want to mark it stolen yet cause I'm trying to link it to my cashapp to use the cash I have in my bank	link cashapp, card don, stolen, want mark
Hi there! I need some help with resetting my password	resetting password, help resetting, hi need
I am trying to order a new card online so I can go to the nearest branch and pick it up	card online, order new, nearest branch, trying, pick
Raise purchasing limit	purchasing limit, raise purchasing, raise, purchasing, limit
I'm trying to pay off a credit card using my AIQFinancial checking account and their customer service tells me AIQFinancial is blocking it. This is new. Can you look into it for me?	aiqfinancial blocking, credit card, service tells, trying, new look
How
Trouble with mobile app	trouble mobile, mobile app, mobile, app, trouble
I found my card. Thought I had lost	card, card thought, lost, thought lost, thought
Hi there! I need some help with…	need help, hi need
Got a text about possible fraud	possible fraud, text, got text, possible, got
Hi
Truebill	truebill
Is this AIQFinancial?
Hello, I was wondering why I can’t see my account anymore	account anymore, wondering account, anymore, hello wondering
ATM	atm
Why is my business account not linked anymore?	account linked, business account, linked anymore, business, anymore
I am Locked out of my account	locked account, locked
i locked up my online deal on my phone and got up late to call to get balance my pass code is roxy page ss is xxxxx2118 and i spent 46 at walmart last night .i want my balance p look ease	balance pass, 46 walmart, locked online, code roxy, look ease
I was trying to do a bill pay and swiped out of the app before I was done and now when I click it again it says there was an error to try later. How do I get back in to pay a bill?	pay swiped, app click, says error, trying, later
How much to start an Ira Roth. Can I have it automatically deducted from my checking account weekly?	roth automatically, start ira, account weekly, deducted checking, start
I am checking to see if a CD can be withdrawn , the maturity date is in 2024, the CD has been in this account over 20 years, will there be a penalty if removed before the 2024 date?	withdrawn maturity, checking cd, penalty, 2024, account 20
I have a  question I need to start a bank account how much would I need	start bank, bank account, need start, question need
Hi there! Your system says that I'm locked out. What do I need to do to get my account fixed?	account fixed, locked need, need account, hi says
Are accounts under $250,000 FDIC insured?	fdic insured, 000 fdic, insured, accounts, 250
Address change	address change, address, change
Problem resolved. Thank you.	problem resolved, resolved thank, resolved, problem
Yesterday I had 302 n account an now I have -24??	302 account, account 24, yesterday 302, 24, yesterday
Can I deposit personal checks today ?	deposit personal, personal checks, checks, today, personal
Can we get our 1099 online?	1099 online, 1099, online
I need a copy of my interest paperwork for my taxes. My accountant says it's no I'm my paperwork.  Can I get a copy please. Thank you..	paperwork copy, paperwork taxes, taxes accountant, says
Non of the above	non
My mobile deposit is not available on my app. I have already enrolled, but it's still not showing up.	mobile deposit, app enrolled, available app, enrolled showing, available
Hi there! I need some help with… I locked myself out of my account	locked account, help locked, hi need
How do I set up Zelle?	set zelle, zelle, set
Reset password	reset password, password, reset
Hi there! I need some help with...	need help, hi need
I have 2 charges pending for the same place, same amount, but the website kept telling me that the sale wasn’t going through, so I need to make sure only one of the charges gets paid. How do I go about that.	charges pending, sale wasn, gets paid, place website, sure
Change address	change address, address, change
Good morning. It seems that one of my debit cards was hacked yesterday.	cards hacked, morning debit, good morning, yesterday, good
IVE JUST OPENED AN ACCOUNT.. CAN I GO TO A BRANCH TO FUN IT AND GET A DEBIT CARD TODAY?	debit card, branch fun, just opened, today, ive
55d	55d
Hi.  If a customer has a loan through us and that's all do they have access to online banking?	online banking, loan access, customer, online
I'm not able to see my accounts on your website. Says it's unavailable at the time. Is the there something wrong with the site?	accounts website, unavailable time, website says, able, wrong
Deposit	deposit
What’s the routing number	routing number, routing, number
info on smart rate money marker .  what is minimum amount to avoid monthy fee	money marker, monthy fee, smart rate, minimum avoid, info
My paycheck usually hits today. It has not. Is there a problem?	paycheck, hits today, today problem, usually hits, usually
SAVVY SAVINGS. iS THAT LEGIT?	savings legit, savvy savings, legit, savvy
Hi I need to increase my daily debit card limit.	card limit, increase daily, daily debit
Hi there! I need some help with logging into my online app	logging online, app, online
My account is showing I have a balance of $0.00 I have should have a little over $500 in the bank. What's going on?	account showing, balance 00, 500 bank, bank going, little 500
Does AIQFinancial offer currency conversion for euros and pounds.  Travelling to Paris and London	conversion euros, does aiqfinancial, paris london, travelling, does
Hello. If I forgot my login information, how can I retrieve that?	forgot login, login information, information retrieve, forgot
Hello. I ordered check for my checking account at least 3 weeks ago. I was charged also. But I have yet to receive them. Thank you	ordered check, charged receive, weeks
could you send me my most recent statement? I still cannot access it on the app	send recent, recent statement, access app, statement access, statement
I'm sorry to bother you, are we having issues with Q2? If not, could I be reset? Thank you Team.	q2 reset, issues, team, bother having
what is the current interest rates for certificates?	rates certificates, certificates, current rates, rates, current
Hello I would like to refund a purchase that I made	refund purchase, like refund, purchase, hello like, like
Hi there! I need some help with…putting my bank on messenger bc I'm 76 yrs old and have problems with the use of a phone that u carry in ur pocket and I want to check on my account and I'm in Okanogan Washington and I'm Carolyn@yahoo.com	bank messenger, phone carry, okanogan washington, help putting, 76 yrs
I deposited 200 dollars into the atm january 18 and it’s not in my account.. I talked to someone earlier and they said it would be in my account around 7 and it’s still not there	deposited 200, dollars atm, said account, january, talked earlier
Hi , I wondering why my account  it’s $0	wondering account, hi wondering, wondering
account recovery	account recovery, recovery
I deposited a check that clears chase bank Saturday so why do I still not have my money	chase bank, check clears, deposited, money, saturday
What’s the routing number?	routing number, routing, number
Need to get into my online AIQFinancial account blocked	aiqfinancial account, online aiqfinancial, blocked, need online
Change address	change address, address, change
Mandi	mandi
Pause card	pause card, pause, card
I need to change my address	change address, address, need change, change
Account locked I forgot my password	account locked, forgot password, locked forgot, forgot
How can I dispute a charge on my account?	dispute charge, charge account, charge, dispute
I need to change my address.	change address, address, need change, change
In order to login into my account, it needs to send a message to my phone. However, the only number attached is to my old phone I no longer have connection to.	message phone, order login, account needs, longer connection, old
I don’t have access to number on account	number account, access number, don access, don
Hi there! I need some help with… I just changed my passcode and now it is saying to contact you	changed passcode, just changed, saying contact, hi need, just
Need to reset my password but can’t find my username	reset password, password username, need reset, username
phone number	phone number, number, phone
My login ID is locked	id locked, login id, login, locked, id
Forgot my Username	forgot username, username, forgot
How much is it to open an account	open account, open
Hi Gabby	hi gabby, gabby
Hello deposited at an atm yesterday afternoon and the amount is not in my account	deposited atm, afternoon account, atm, yesterday
Inactive account notice	inactive account, account notice, inactive, notice
I need a 10 day pay off on my loan	pay loan, 10 day, day pay, 10
Where are your stand alone ITM or ATM located ?	atm located, itm atm, stand itm, located, stand
Hi there! I need some help, I can not log on to my account. What is going on, this has been happening a lot lately with this bank. Either y’all’s atms are all down or your banking online doesn’t work!!	log account, atms, online, doesn work, going
Good afternoon. I have an account with you and have a check for an insurance claim	insurance claim, check insurance, account check, good afternoon, afternoon account
Appointment	appointment
I do not recall if we have a POD on our account for each of us.  Can you tell me that info please?	pod account, info, recall, tell
We're there any banking issues around 1/5? I made a payment on 1/5 and it didn't show up in my bank account and I didn't receive any kind of notice that the payment was declined	payment declined, banking issues, account didn, kind notice, receive
who to speak with about a notification of mobile bank shut down?	bank shut, mobile bank, notification mobile, shut, speak
We have an ACH that displays as the following on our bank statement:  ACH PMT ERGS TIMESHARE PPD.  We would like to stop the ACH.	stop ach, bank statement, timeshare ppd, displays following, ergs
I need to change my last name	need change, change
Transfer funds not available	transfer funds, funds available, transfer, funds, available
I will need a cashiers check for work I am having done at my house.  What do I need to do?	cashiers check, house need, work having, check
Do any of the branches have a coin counting machine to exchange for paper cash or deposit into an account?	branches coin, cash deposit, counting machine, exchange paper
Someone in England is wanting to wire transfer funds into my AIQFinancial account.  What information do I need to send them in order to receive these funds?  Also, is there a fee to receive a foreign wire transfer?	aiqfinancial account, wire transfer, receive foreign, funds fee, england wanting
Password reset	password reset, password, reset
I’m wondering if you have an in house credit card? NOT debit card, but a legit credit card to replace a Goldman Sach’s credit card.	debit card, sach credit, replace goldman, legit, wondering house
I deposited my check Saturday. Only part was deposited. When will the rest??	saturday deposited, deposited check, check saturday, check, rest
I need my 1098 tax form	need 1098, tax form, form, tax
Hi my name is James. I need help resetting my account passcode as I am locked out currently	passcode locked, resetting account, hi james, need help, currently
Good morning. I am needing to close the second account I currently have with AIQFinancial. I opened it for my daughter to use but the service charge is just too much to pay every month.	second account, service charge, aiqfinancial opened, daughter use, just
How do I submit a check that is sent to me through pay check	pay check, submit check, submit, check, sent
I already answered the question to set up my pin to see my account why is it asking me again the same questions to open my account it's suppose to go straight to my pin	pin account, questions open, suppose straight, answered, set
routing number from bank	routing number, number bank, routing, number
Every time I pay for something either it's online or with my card everything is declined, but I have the funds	declined funds, card declined, online card, pay online, time pay
How do I export my transactions	export transactions, export, transactions
Hello.  I am trying to get a Loan Payoff Amount	loan payoff, trying loan, loan, payoff, hello trying
I have two revolving monthly charges that I won't to stop.  Where on the website can I do that?  Or do I need to call in for that?	monthly charges, stop website, charges won, revolving
I am locked out of my account. Can you help me?	locked account, account help, locked
Hello can yu email us a letter for direct deposit for Kalen She needs to turn it in for her job	deposit kalen, email letter, turn job, direct, yu
I’m trying to login to my app so that I could change the number on there because I have a new phone number and it’s trying to text the old number a code	login app, change number, app change, trying text, new phone
Mobile deposit a check	mobile deposit, deposit check, deposit, mobile, check
How do I dispute a transaction	dispute transaction, transaction, dispute
Hi there! I need some help with my bank app. I can’t remember my user ID	bank app, user id, need help, remember
So I am wanting to see what type of trust accounts y’all have and what are the qualifications for them	trust accounts, accounts qualifications, type trust, qualifications, wanting type
Door dash of $90.00 I didn’t do	door dash, dash 90, 90 00, 00 didn, didn
Hi there! I need some help with… Mobile banking	mobile banking, help mobile, hi need
How do I get ahold of the escrow department?	escrow department, escrow, ahold escrow, department, ahold
I'm thinking about opening up an account with your bank.  what will i need?	account bank, bank need, opening account, thinking opening
